ID,Event,Country,Latitude,Longitude,USGS Event ID,Year,Month,Day,Time of Day (Universal Time Code),Mw,Earthquake Information Source,Fault Type,Depth (km),Ms,Ms Source,Other Magnitude,Other Magnitude Type,Other Magnitude Source,USGS ShakeMap Availability,Inventory,Inventory Source,Total Fatalities,Total Fatalities Source,Total Injuries,Total Injuries Source,Landslide Fatalities,Landslide Fatalities Source,Missing People (Landslide),Missing People Source,Area Affected (km^2),Area Affected Source,Number of Landslides (Primary),Number of Landslides (Primary) Source,Number of Landslides (Secondary),Number of Landslides (Secondary) Source,Number of Landslides (Additional Values and Sources),mLS (Primary),Rodriguez #LS,Keefer # LS,Area of Landslides (km^2),Area of Landslides Source,Volume of Landslides (km^3),Volume of Landslides Source,Max Epicentral Distance (km),Max Distance from Fault-Rupture Zone to Landslides (km),Max Epicentral Distance and Distance from Fault-Rupture Zone Source,Notes
74,"Coyote Lake, California, USA",United States of America,37.1,-121.51,nc1046962,1979,8,6,17:05:22,5.7,GEM,Strike-slip,8.3,5.4,"Keefer, 1984",5.8,ml,NC ,Y,N,,0,PAGER-CAT, ,,0,PAGER-CAT,,,260,"Keefer, 1984",,,,,,,,12-120,,,,,24,18,"Keefer, 1984",
75,"Homestead Valley, California, USA",United States of America,34.320 ,-116.45,,1979,3,15,21:07:16,5.5,PAGER-CAT,Strike-slip,1,,,5.2,ml,"Keefer, 1984",Y,N,,0,PAGER-CAT,,,0,PAGER-CAT,,,-,,,,,,,,,20-Feb,,,,,2.5,1,"Keefer, 1984",
76,"Mount Diablo, California, USA",United States of America,37.85,-121.82,usp000155j,1980,1,24,19:00:09,5.8,PAGER-CAT,Strike-slip,11,5.8,"Keefer, 1984", ,,,Y,Y,"Wilson et al., 1980",1,EMDAT,,,0,"Martin, 1988",,,500,"Keefer, 2002",103,"Keefer, 2002",105,"Wilson et al., 1985",,2.012837225, ,22-310,,,,,40,28,"Harp et al., 1981 ",
77,"Mammoth Lakes, California, USA",United States of America,37.59,-118.83,ci3309599,1980,5,25,16:33:44,6.1,PAGER-CAT,Strike-slip,6.8,,,,,,Y,Y,"Harp et al., 1984",,,,,,,,,,,4027,"Harp et al., 1984",,,,3.60498163,,,33.8,"Harp et al., 1984",,,,,,
78,"Irpinia, Italy",Italy,40.914 ,15.366 ,usp0001ay4,1980,11,23,18:34:53,6.9,"Rovidia, 2011",Normal,10,6.9,"Rodriguez, 1999",,,,Y,Y,CEDIT Italian Database,4689,EMDAT,9394,PAGER-CAT,,,,,13000,"Rodriguez, 1999",,,,,,,2,, ,,,,80,19,"Honcox et al., 2002",
79,"Preveza, Greece",Greece,38.094 ,23.046 ,,1981,3,10,15:16:19,3.7,PAGER-CAT,Strike-slip,24.8, ,PAGER-CAT,,,,Y,N,,2,EMDAT, ,,2,PAGER-CAT, ,,,,,,,,,,,,,,,,,,,
80,"Golfito, Costa Rica",Costa Rica,8.717,-83.123,usp0001u4p,1983,4,3,2:50:01,7.1,"Montero, 1999, Bommer and Rodriguez, 2002, Climent et al., 2009, PAGER-CAT",Thrust/Reverse,37,7.3,PAGER-CAT,6.5,mb,PAGER-CAT,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,"Coalinga, California, USA",United States of America,36.23,-120.31,nc1091100,1983,5,2,23:42:38,6.2,"Stover & Coffman, 1993",Thrust/Reverse,9.6,6.7,"Rodriguez, 1999",6.7,ml,NC,Y,Y,"Harp and Keefer, 1990",0,PAGER-CAT,94,PAGER-CAT,0,,,,1540,"Rodriguez, 1999",9389,"Keefer, 2002",3980,"Harp and Keefer, 1990",,3.972619339, ,,4.7,"Harp and Keefer, 1990",0.0019,"Keefer, 1994",40k,37k,"Harp & Keefer, 1990",
82,"Division-Buvis, Costa Rica",Costa Rica,9.652,-83.688,usp0001wjc,1983,7,3,17:14:23,6.5,"Boschini et al. 1988, Bommer and Rodriguez, 2002, Climent et al., 2009, PAGER-CAT",Strike-slip,14,6.2,PAGER-CAT,5.9,mb,PAGER-CAT,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,"Waiotapu, New Zealand",New Zealand,-38.36,176.33 ,,1983,12,15,9:56,5.1,"Honcox et al., 2002",Strike-slip,5,,,,,,N,N,,0,,,,0,,,,92,"Honcox et al., 2002",,,,,,,,,,,,,-,-,"Honcox et al., 2002 ",
84,"Borah Peak, Idaho, USA",United States of America,44.06,-113.86,usp0001zbv,1983,10,28,14:06:06,6.9,PAGER-CAT,Normal,10,7.3,PAGER-CAT, ,,,Y,N,,2,EMDAT,,,0,"Nisqually Quake, 2010",,,4200,"Rodriguez, 1999", ,,,,,,2,, ,,,,70,37,"Rodriguez, 1999, Keefer et al., 1985",
85,Bosnia and Herzegovina,Bosnia and Herzegovina,42.97,17.73,usp00024bq,1984,5,13,12:45:55,5.5,PAGER-CAT,Strike-slip,29.7,5.1,PAGER-CAT,,,,Y,N,,1,PAGER-CAT, ,,1,PAGER-CAT, ,,,,,,,,,,,,,,,,,,,
86,"Nagoken-seibu, Japan",Japan,35.77,137.42,usp00027d9,1984,9,14,22:14:31,5.7,PAGER-CAT,Strike-slip,10,5.2,PAGER-CAT, ,,,Y,N,,20,EMDAT,10,"Jishin, 1984",29,"Jishin, 1984",15,"Jishin, 1984",3500,"Rodriguez, 1999", ,,,,,,2,, ,,,,6,3,"Rodriguez, 1999",
87,"Valparaiso, Chile",Chile,-33.14,-71.87,usp0002ccz,1985,3,3,22:47:07,8,PAGER-CAT,Thrust/Reverse,33,7.8,PAGER-CAT, ,,,Y,N,,180,EMDAT,2575,PAGER-CAT,0,GEM,0,GEM,17000,"Rodriguez, 1999", ,,,,,,,,,,,,,,"Rodriguez, 1999",
88,"Kalamata, Greece",Greece,37.01,22.18,,1986,9,13,17:24:31,6,PAGER-CAT,Normal,11.2,5.8,PAGER-CAT, ,,,Y,N,,20,EMDAT,300,GEM,,,,,70,"Rodriguez, 1999", ,,,,,,2,, ,,,,18,8,"Rodriguez, 1999",
89,"San Salvador, El Salvador",El Salvador,13.83,-89.12,usp0002yu9,1986,10,10,17:49:24,5.7,PAGER-CAT,Strike-slip,7,5.4,PAGER-CAT, ,,,Y,Y,"Rymer, 1987",1100,EMDAT,10000,GEM,200,GEM, ,,240,"Rodriguez, 1999",265,"Tanyas et al., 2017",,,,2.423245874,3,, ,,0.0004,"Keefer, 1994",20,14,"Rodriguez, 1999, Rymer, 1987, Rymer & White, 1989",
90,"Diebu, China",China,34.26,103.41,,1987,1,7,18:19:08,5.4,PAGER-CAT,Strike-slip,33,5.5,PAGER-CAT, ,,,N,N,,0,EMDAT,,,0,,,,280,"Rodriguez, 1999", ,,,,,,,,,,,,,,"Rodriguez, 1999",
91,"Superstition Hills, California, USA",United States of America,33.02,-115.85,ci628016,1987,11,24,13:15:56,6.6,Cl,Strike-slip,11.2,,,6.1,,,Y,N,,0,"Martin, 1988",94,"Martin, 1988",0,"Martin, 1988",,,3300,"Rodriguez, 1999", ,,,,,,,,,,,,,,"Rodriguez, 1999",
92,"Edgecumbe, New Zealand",New Zealand,-37.97,176.765 ,usp00032x6,1987,3,2,1:42:34,6.5,PAGER-CAT,Normal,19.2,6.6,PAGER-CAT, ,,,Y,N,,1,EMDAT,35,GEM,0,GEM,0,GEM,220,"Rodriguez, 1999", ,,,,,,2,, ,,,,28,7,"Rodriguez, 1999, Honcox et al., 2002 ",
93,Papua New Guinea,Papua New Guinea,-6.088 ,147.689 ,usp000329h,1987,2,8,18:33:58,7.4,Relief Web,Strike-slip,54.9,7.4,PAGER-CAT,,,,Y,N,,3,PAGER-CAT,0,PAGER-CAT,3,PAGER-CAT, ,,,,,,,,,,,,,,,,,,,
94,"Whittier Narrows, California, USA",United States of America,34.061 ,-118.08,ci731691,1987,10,1,14:42:20,5.9,PAGER-CAT,Thrust/Reverse,8.9,,, ,,,Y,N,,8,EMDAT,200,PAGER-CAT,1,"Whittier Dailys News, 1987",,,4200,"Rodriguez, 1999", ,,,,,,,,,,,,48,50,"Rodriguez, 1999",
95,Philippines,Philippines,17.291 ,121.356 ,usp00035w5,1987,6,18,10:01:07,5.9,PAGER-CAT,Strike-slip,42.8,6,PAGER-CAT,,,,Y,N,,9,PAGER-CAT,5,PAGER-CAT,8,PAGER-CAT, ,,,,,,,,,,,,,,,,,,,
96,"Reventador (El Napo), Ecuador",Ecuador,.082 , -77.787 ,usp000330w,1987,3,5,4:10:43,7.1,GEM,Thrust/Reverse,17.1, ,, ,,,N,N,,5000,EMDAT,,,1000,PAGER-CAT,4000,PAGER-CAT,2500,"Rodriguez, 1999", ,,,,,,,,,,0.0953,"Keefer, 1994",70,18,"Rodriguez, 1999, Schuster et al., 1996, Tibaldi et al., 1995",
97,"Killini, Greece",Greece,37.938 ,20.932 ,usp0003mvg,1988,10,16,12:34:05,5.9,PAGER-CAT,Strike-slip,25.2,5.8,PAGER-CAT, ,,,Y,N,,0,PAGER-CAT,25,PAGER-CAT,0,,,,40,"Rodriguez, 1999", ,,,,,,2,, ,,,,17,12,"Rodriguez, 1999",
98,"Saguenay, Canada",Canada,48.117 ,-71.18,usp0003p6p,1988,11,25,23:46:04,5.9,PAGER-CAT,Thrust/Reverse,28.9,5.8,PAGER-CAT, ,,,Y,N,,0,"University of Waterloo, 1989",0,"University of Waterloo, 1989",0,,,,45000,"Rodriguez, 1999", ,,,,,,2,, ,,,,180,180,"Rodriguez, 1999",
99,"Nepal, Nepal",Nepal,26.71 ,86.62 ,usp0003k6t,1988,8,21,23:09:09,6.9,PAGER-CAT,Thrust/Reverse,57.4,6.6,PAGER-CAT, ,,,Y,N,,805,EMDAT,11095,GEM,106,EMDAT,,,90,"Rodriguez, 1999", ,,,,,,,,,,,,38,20,"Rodriguez, 1999",
100,"Spitak, Armenia",Armenia,40.987 ,44.185 ,iscgem417441,1988,12,7,7:41:24,,PAGER-CAT,Strike-slip,5.4,6.8,PAGER-CAT,6.2,mb,,Y,N,,25000,PAGER-CAT,19000,PAGER-CAT,0,GEM,0,GEM,2200,"Rodriguez, 1999", ,,,,,,4,, ,,,,70,5.5,"Rodriguez, 1999",
101,Papua New Guinea,Papua New Guinea,-4.35,152.797 ,usp0003stk,1989,3,10,14:14:10,5.8,PAGER-CAT,Strike-slip,53.3,5.4,PAGER-CAT,,,,Y,N,,1,PAGER-CAT, ,,1,PAGER-CAT, ,,,,,,,,,,,,,,,,,,,
102,"Loma Prieta, California, USA",United States of America,37.036 ,-121.88,nc216859,1989,10,18,0:04:15,6.9,"Clough et al., 1994",Thrust/Reverse,17.2,7.1,"Rodriguez, 1999",6.9,mh,"Keefer, 1984",Y,Y,"Keefer and Manson, 1998, McCrink, 2001",62,EMDAT,3757,GEM,1,GEM,0,GEM,1674,"Keefer, 2000 (in Tanyas, was listed as Rodriguez, 1999)",138,"McCrink, 2001",,,,2.139879086, ,,0.4,"McCrink, 2001",0.0745,"Keefer, 1994",50,28k,"Keefer, 2000; McCrink, 2001; Keefer & Manson, 1998       ",
103,Indonesia,Indonesia,-4.511 ,139.022 ,usp0003xwt,1989,8,1,0:18:04,6.3,PAGER-CAT,strike-slip,14.3,5.8,PAGER-CAT,,,,Y,N,,120,EMDAT,125,PAGER-CAT,120,PAGER-CAT, ,,,,,,,,,,,,,,,,,,,
104,"Soviet Tajik, Tajikistan",Tajikistan,38.47 ,68.89 ,usp0003r4d,1989,1,23,23:02:07,,PAGER-CAT,Strike-slip,33,,,5.5,mb,PAGER-CAT,Y,N,,274,PAGER-CAT,,,,,,,12,"Rodriguez, 1999", ,,,,,,2,, ,,,,,,"Rodriguez, 1999",
105,"Weber, New Zealand",New Zealand,-40.296 ,176.064 ,usp0004985,1990,5,13,4:23:09,6.4,PAGER-CAT,Thrust/Reverse,20.6,6.3,PAGER-CAT,,,,Y,N,,0,UTSU,0,UTSU,0,UTSU,,,500,"Honcox et al., 2002",,,,,,,,,,,,,-,-,"Honcox et al., 2002 ",
106,Afghanistan,Afghanistan,36.415 ,70.789 ,usp0004bt0,1990,7,13,14:20:43,6.4,PAGER-CAT,Thrust/Reverse,216.8,,,5.6,mb,PAGER-CAT,Y,N,,43,PAGER-CAT, ,,43,PAGER-CAT, ,,,,,,,,,,,,,,,,,,,
107,"Luzon, Philippines",Philippines,15.679 ,121.172 ,usp0004bxs,1990,7,16,7:26:34,7.7,PAGER-CAT,Strike-slip,25.1,7.8,PAGER-CAT, ,,,Y,N,,2412,EMDAT,3513,GEM,450,GEM, ,,3000,"Rodriguez, 1999", ,,,,,,3,, ,,,,200,80,"Rodriguez, 1999, Lee & Evangelista, 2006 ",
108,"Piedras Negras, Costa Rica",Costa Rica,9.91,-84.31,,1990,5,12,,6,"Montero et al., 1991, Bommer and Rodriguez, 2002, Climent et al., 2009",,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,"Manjil, Iran",Iran,36.957 ,49.409 ,usp0004arq,1990,6,20,21:00:09,7.4,PAGER-CAT,Strike-slip,18.5,7.7,PAGER-CAT, ,,,Y,N,,40000,EMDAT,60000,PAGER-CAT,0,GEM,0,GEM,1000,"Rodriguez, 1999", ,,,,,,3,, ,,,,90,1,"Rodriguez, 1999",
110,Georgia,Georgia,42.683 ,43.247 ,usp0004r6m,1991,5,3,20:19:38,5.6,PAGER-CAT,strike-slip,10,5.2,PAGER-CAT,,,,Y,N,,3,PAGER-CAT, ,,3,PAGER-CAT, ,,,,,,,,,,,,,,,,,,,
111,"Valle de la Estrella, Costa Rica ",Costa Rica,9.685 ,-83.07,usp0004qpg,1991,4,22,21:56:51,7.6,PAGER-CAT,Thrust/Reverse,10,7.6,PAGER-CAT, ,,,Y,Y,"Marc et al., 2016",47,EMDAT,563,PAGER-CAT,,,,,2000,"Marc et al., 2016",1643,"Marc et al., 2016",,,,3.215637563,4,,8.2,"Marc et al., 2016",,,80,50," Marc et al., 2016",
112,"Cape Mendocino, California, USA",United States of America,40.335 ,-124.23,nc269151,1992,4,25,18:06:05,6.7,PAGER-CAT,Thrust/Reverse,9.9,7.1,PAGER-CAT,7.2,mh,PAGER-CAT,Y,N,,0,"Oppenheimer et al., 1993",94,"Oppenheimer et al., 1993",0,"Oppenheimer et al., 1993",,,625,"Rodriguez, 1999", ,,,,,,,,,,,,25,19,"Rodriguez, 1999 ",
113,"Landers, California, USA",United States of America,34.2,-116.44,ci3031111,1992,6,28,11:57:34,7.3,PAGER-CAT,Strike-slip,0.1,,,,,,Y,N,,1,EMDAT,300,EMDAT,,,,,,,,,,,,,,,,,,,,,,
114,"Big Bear, California, USA",United States of America,34.2,-116.83,usp00059t6,1992,6,28,15:05:30,6.3,PAGER-CAT,Strike-slip,3.6,6.4,PAGER-CAT,,,,Y,N,,0,"The Grizzly, 1992",63,"The Grizzly, 1992",,,,,,,,,,,,,,,,,,,,,,
115,"Murindo, Colombia",Columbia,6.845 ,-76.81,usp0005fha,1992,10,17,8:32:40,6.7,PAGER-CAT,Thrust/Reverse,14.3,6.7,PAGER-CAT, ,,,Y,N,,11,EMDAT,20,PAGER-CAT,,,,,9700,"Rodriguez, 1999", ,,,,,,,,,,,,115,75,"Rodriguez, 1999 ",
116,"Suusamyr, Kyrgyzstan",Kyrgyzstan,42.142 ,73.575 ,usp0005cq0,1992,8,19,2:04:37,7.3,PAGER-CAT,Thrust/Reverse,27.4,7.4,PAGER-CAT, ,,,Y,N,,54,EMDAT,100,PAGER-CAT,14,PAGER-CAT, ,,2500,"Rodriguez, 1999", ,,,,,,,,,,,,50,19,"Rodriguez, 1999 ",
117,"Erzincan, Turkey",Turkey,39.710 ,39.605 ,usp000547c,1992,3,13,17:18:39,6.7,PAGER-CAT,Strike-slip,27.2,6.8,PAGER-CAT, ,,,Y,N,,653,EMDAT,2000,PAGER-CAT,0,GEM,0,GEM,150,"Rodriguez, 1999", ,,,,,,2,, ,,,,25,,"Rodriguez, 1999 ",
118,"Flores Island, Indonesia",Indonesia,8.48,121.9,usp0005j5a,1992,12,12,5:29:26,7.8,PAGER-CAT,Thrust/Reverse,27.7,7.5,PAGER-CAT,6.5,mb,PAGER-CAT,Y,N,,2200,PAGER-CAT,500,PAGER-CAT,,,,,,,,,,,,,,,,,,,,,,
119,"Pejibaye Swarm, Costa Rica",Costa Rica,9.91,-83.67,,1993,7,10,,6,"Barquero and Peraldo, 1993, Bommer and Rodriguez, 2002, Climent et al., 2009",,14,,,,,,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,"Guam, USA",United States of America,12.98,144.8,usp0005y3k,1993,8,8,8:34:24,7.8,PAGER-CAT,Thrust/Reverse,59.3,8,PAGER-CAT,7.1,mb,PAGER-CAT,Y,N,,0,PAGER-CAT,48-71,PAGER-CAT,0,PAGER-CAT,,,,,1,"EERI, 1993",,,,0,,,,,,,,,,
121,"Ormond, New Zealand",New Zealand,-38.52,177.553 ,usp0005y8t,1993,8,10,9:46:35,6.4,PAGER-CAT,Strike-slip,14.4,6,PAGER-CAT, ,,,Y,N,,0,UTSU,0,UTSU,0,UTSU,,,25,"Rodriguez, 1999", ,,,,,,2,, ,,,,25,15,"Rodriguez, 1999, Honcox et al., 2002",
122,"Klamath Falls, Oregon, USA",United States of America,42.32,-122.03,uw10313838,1993,9,21,3:28:55,5.9,PAGER-CAT,Normal,8.6,5.8,PAGER-CAT, ,,,Y,N,,2,EMDAT,,,1,"Long, 1993",,,420,"Rodriguez, 1999", ,,,,,,,,,,,,30,18,"Rodriguez, 1999 ",
123,Peru,Peru,-11.65,-76.53,usp0005rcg,1993,4,18,9:16:23,6.3,PAGER-CAT,Strike-slip,106.3,,,,,,Y,N,,6,EMDAT,25,PAGER-CAT,3,PAGER-CAT, ,,,,,,,,,,,,,,,,,,,
124,"Finistere Mountain, Papua New Guinea",Papua New Guinea,-5.89,146.020 ,,1993,10,13,2:06:00,6.9,PAGER-CAT,Thrust/Reverse,25.3,7,PAGER-CAT,,,,Y,Y,"Meunier et al., 2008",53,EMDAT,,,,,,,55,"Meunier et al., 2008",4790,"Meunir et al., 2008",,,,3.680335513,,,69,"Meunir et al., 2008",,,-,-,"Meunier et al., 2008 ",
125,"Hokkaido-Nansei, Japan",Japan,42.851 ,139.197 ,usp0005w12,1993,7,12,13:17:11,7.7,PAGER-CAT,Thrust/Reverse,16.7,7.6,PAGER-CAT,,,,Y,N,,239,EMDAT,,,,,,,100,"Rodriguez, 1999",274,,,,,2.437750563,2,,0.5,"Tanyas et al., 2017",,,180,80,"Rodriguez, 1999, Tanaka, 1994, Harp et al., 2011, Tsunaki, 1997",
126,"Fiorland, New Zealand",New Zealand,-45.28,166.93,,1993,8,10,0:51:53,7,PAGER-CAT,Thrust/Reverse,28.1,7,PAGER-CAT, ,,,Y,N,,,,,,,,,,5000,"Hancox, 1997", ,,,,,,2,, ,,,,100,90,"Rodriguez, 1999, Honcox et al., 2002",
127,"Arthur's Pass, New Zealand",New Zealand,-42.96,171.658 ,usp0006efu,1994,6,18,3:25:15,6.8,PAGER-CAT,Thrust/Reverse,13.6,7.1,PAGER-CAT, ,,,Y,N,,0,,0,,0,,,,160,"Rodriguez, 1999", ,,,,,,2,, ,,,,23,19,"Rodriguez, 1999, Honcox et al., 2002 ",
128,Uganda,Uganda,.593 ,30.037 ,usp000683u,1994,2,5,23:34:09,6.2,PAGER-CAT,Strike-slip,14.2,6,PAGER-CAT,,,,Y,N,,4,PAGER-CAT, ,,2,PAGER-CAT, ,,,,,,,,,,,,,,,,,,,
129,Bolivia,Bolivia,-13.84,-67.55,usp0006dzc,1994,6,9,0:33:16,8.2,PAGER-CAT,Normal,631.3,,,7.4,mb,PAGER-CAT,Y,N,,5,EMDAT, ,,3,PAGER-CAT, ,,,,,,,,,,,,,,,,,,,
130,"Northridge, California, USA",United States of America,34.213 ,-118.537 ,ci3144585,1994,1,17,12:30:55,6.7,PAGER-CAT,Thrust/Reverse,18.2,,PAGER-CAT, ,,,Y,Y,"Harp and Jibson, 1995",60,EMDAT,7000,GEM,,,,,4045,"Harp & Jibson, 1995",11111,"Harp and Jibson, 1995, Harp and Jibson, 1996",,,,4.045753148, ,,23.8,"Harp and Jibson, 1995, Harp and Jibson, 1996",,,55,51,"Harp & Jibson, 1995",
131,"Paez, Columbia",Columbia,2.917 ,-76.057 ,iscgem167996,1994,6,6,20:47:40,6.8,PAGER-CAT,Strike-slip,12.1,6.6,PAGER-CAT, ,,,Y,N,,1100,EMDAT,,,,,,,250,"Rodriguez, 1999", ,,,,,,4,, ,,,,52,34,"Rodriguez, 1999 ",
132,Taiwan; Province of China,Taiwan,24.600 ,121.700 ,usp0006znz,1995,6,25,6:59:06,6,PAGER-CAT,Strike-slip,52.4,5.6,PAGER-CAT,,,,Y,N,,1,PAGER-CAT,3,PAGER-CAT,1,PAGER-CAT, ,,,,,,,,,,,,,,,,,,,
133,Guatemala,Guatemala,15.301 ,-90.15,usp0007992,1995,12,19,20:56:06,5.4,PAGER-CAT,Strike-slip,10,4.8,PAGER-CAT,,,,Y,N,,1,PAGER-CAT,1,PAGER-CAT,1,PAGER-CAT, ,,,,,,,,,,,,,,,,,,,
134,Taiwan; Province of China,Taiwan,24.137 ,121.614 ,usp0006tcx,1995,2,23,5:19:01,6.2,PAGER-CAT,Strike-slip,40.9,6.2,PAGER-CAT,,,,Y,N,,2,PAGER-CAT,14,PAGER-CAT,2,PAGER-CAT, ,,,,,,,,,,,,,,,,,,,
135,Indonesia,Indonesia,-3.7,140.233 ,usp000799b,1995,12,19,23:28:12,6.5,PAGER-CAT,Normal,63.4,6.3,PAGER-CAT,,,,Y,N,,2,PAGER-CAT,0,PAGER-CAT,2,PAGER-CAT, ,,,,,,,,,,,,,,,,,,,
136,"Tauramena, Colombia",Columbia,5.050 ,-72.916 ,usp0006rkq,1995,1,19,15:05:03,6.5,PAGER-CAT,Thrust/Reverse,17.3,6.6,PAGER-CAT, ,,,Y,N,,7,PAGER-CAT,38,GEM,,,,,4550,"Rodriguez, 1999", ,,,,,,,,,,,,,,"Rodriguez, 1999 ",
137,"Kobe  (Hyogoken-Nanbu), Japan",Japan,34.583 ,135.018 ,usp0006rew,1995,1,16,20:46:52,6.9,PAGER-CAT,Strike-slip,21.9,6.8,PAGER-CAT, ,,,Y,Y,"Uchida et al., 2004",5297,EMDAT,43792,GEM,34,GEM, ,,200,"Rodriguez, 1999",2353,"Uchida et al., 2004",,,,3.371621927, , ,0.5,"Uchida et al., 2004",,,36,7,"Uchida et al., 2004, Fukuoka et al., 1997",
138,"Colima, Mexico",Mexico,19.06,-104.21,usp00074vc,1995,10,9,15:35:53,8,PAGER-CAT,Thrust/Reverse,33,7.4,PAGER-CAT,6.6,mb,PAGER-CAT,Y,N,,49,PAGER-CAT,100,PAGER-CAT,,,,,,,,,,,,,,,,,,,240,,"Chavez et al., 2014",
139,"Arthur's Pass, New Zealand",New Zealand,-30.6,-178.991 ,,1995,5,29,10:06:41,5.5,PAGER-CAT,Thrust/Reverse,10,5.5,PAGER-CAT, ,,,N,N,,,,,,,,,,26,"Honcox et al., 2002 [Rodriguez, 1999]", ,,,,,,2,, ,,,,,,"Honcox et al., 2002 ",
140,"Lijiang, China",China,27.29,100.28,usp0007c7g,1996,2,3,11:14:20,6.6,PAGER-CAT,Normal,11.1,6.5,PAGER-CAT,6.4,mb,PAGER-CAT,Y,Y,"Chuan and Grunert, 1999",309,EMDAT,16925,EMDAT,,,,,12000,"Chuan and Grunert, 1999",200,"Chuan and Grunert, 1999",,,,2.301029996,,,,,,,,,,
141,"Umbria-Marche, Italy",Italy,43.084 ,12.812 ,usp000881f,1997,9,26,9:40:26,6,PAGER-CAT,Normal,10,5.5,PAGER-CAT, ,,,Y,Y,"Esposito et al., 2000, Marzorati et al., 2002",14,EMDAT,,,4,"Del Prete, 1998",,,620,"Carro et al., 2003",210,"Marzorati et al., 2002",,,,2.322219295, , ,1.9,"Marzorati et al., 2002",,,25,15," Carro et al., 2003, Esposito et al., 2000, Marzorati et al., 2002, Antonini et al., 2002",
142,"Jueili, Taiwan",Taiwan,23.407 ,120.736 ,usp0008rnv,1998,7,17,4:51:14,5.7,PAGER-CAT,Thrust/Reverse,12.6,5.4,PAGER-CAT,,,,Y,Y,"Huang and Lee, 1999",5,EMDAT,,,,,,,750,"Huang and Lee, 1999",847,"Huang and Lee, 1999",,,,2.92788341,,,4.8,"Huang and Lee, 1999",,,30,,"Huang and Lee, 1999",
143,"Hindu Kush, Afghanistan",Afghanistan,37.11,70.11,usp0008nze,1998,5,30,6:22:28,6.6,PAGER-CAT,Strike-slip,33.8,,,,,,Y,N,,,,,,1350,"Daniell et al., 2017",,,,,,,,,,,,,,,,,,,,
144,Southern Italy,Italy,40.04,15.98,usp0008unt,1998,9,9,11:27:59,5.6,PAGER-CAT,Normal,10,5.2,PAGER-CAT,5.2,mb,PAGER-CAT,Y,Y,CEDIT Italian Database,2,PAGER-CAT,12,PAGER-CAT,1,PAGER-CAT,,,,,,,,,,,,,,,,,,,,
145,Mexico,Mexico,18.386 ,-97.436 ,usp00099y6,1999,6,15,20:42:05,7,PAGER-CAT,Normal,70,6.5,PAGER-CAT,,,,Y,N,,15,EMDAT,250,PAGER-CAT,1,PAGER-CAT, ,,10500,"Bommer, 2002", ,,,,,,,,,,,,,,,
146,"Garhwal Himalayas, India",India,30.512 ,79.403 ,usp00095cb,1999,3,28,19:05:11,6.6,PAGER-CAT,Thrust/Reverse,15,6.6,PAGER-CAT,,,,Y,N,,100,EMDAT,,,,,,,226,"Barnard et al., 2001",56,,,,,1.748188027,,,,,,,,," Barnard et al., 2001, Pareek et al., 2013, Saraf, 2000 ",
147,"Chi-Chi, Taiwan",Taiwan,23.772 ,120.982 ,usp0009eq0,1999,9,20,17:47:18,7.7,PAGER-CAT,Thrust/Reverse,33,7.7,PAGER-CAT,,,,Y,Y,"Liao and Lee, 2000",2264,EMDAT,11305,PAGER-CAT,78,PAGER-CAT,29,PAGER-CAT,10495,"Liao & Lee, 2000",9272,"Liao and Lee, 2000",,,,3.967173423, , ,127.5,"Liao and Lee, 2000",0.125,"Harp and Keefer, 2011",115,74,"Liao & Lee, 2000, Khazai & Sitar, 2004, Lee et al., 2008, Liao et al., 2002, Wang et al., 2003 ",
148,Japan,Japan,34.221 ,139.131 ,,2000,7,1,7:01:55,6.1,PAGER-CAT,Strike-slip,10,6.1,PAGER-CAT,,,,Y,N,,1,EMDAT,0,PAGER-CAT,1,PAGER-CAT, ,,,,,,,,,,,,,,,,,,,
149,"Tottori-Ken Seibu, Japan",Japan,35.46,133.13,iscgem1839998,2000,10,6,4:30:19,6.7,PAGER-CAT,Strike-slip,10,6.8,PAGER-CAT,5.8,mb,PAGER-CAT,Y,N,,0,EMDAT,130,EMDAT,0,EMDAT,,,,,,,,,,,,,,,,,,,,
150,Papua New Guinea,Papua New Guinea,-3.98,152.169 ,usp000a3qq,2000,11,16,4:54:56,8,PAGER-CAT,Strike-slip,33,8.2,PAGER-CAT,,,,Y,N,,2,EMDAT,,,1,PAGER-CAT, ,,,,,,,,,,,,,,,,,,,
151,Italy,Italy,46.735 ,11.201 ,usp000ajqv,2001,7,17,15:06:15,4.7,PAGER-CAT,Strike-slip,10,,,,,,Y,N,,4,PAGER-CAT,3,PAGER-CAT,2,PAGER-CAT, ,,,,,,,,,,,,,,,,,,,
152,"Santa Tecla, El Salvador",El Salvador,13.671 ,-88.938 ,usp000a9jv,2001,2,13,14:22:05,6.6,PAGER-CAT,Strike-slip,10,6.5,PAGER-CAT,,,,Y,Y,"Garcia-Rodriguez and Malpica, 2011",315,EMDAT,,,,,,,150,"Garcia-Rodriguez & Malpica, 2010",62,"Tanyas et al., 2017",,,,1.792391689,,,,,,,85,,"Garcia-Rodriguez & Malpica, 2010 ",
